OWIO, OWST, PWIO, AVGWIO, TAG
100, 0.000000, 0.000000, 0.000000, 0
32, 0.000000, 0.000000, 0.000000, 0
91, 0.000000, 0.000000, 0.000000, 0
6, 0.000000, 0.000000, 0.000000, 0
0, 0.845018, 229.000000, 46.786026, 0
0, 0.347709, 129.000000, 49.689922, 0
0, 0.240695, 97.000000, 45.134021, 0
0, 0.012146, 6.000000, 12.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 0
0, 0.000000, 0.000000, 0.000000, 1
65, 0.149425, 65.000000, 27.938462, 1
100, 0.492537, 165.000000, 34.084848, 1
100, 1.127660, 265.000000, 28.830189, 1
100, 2.703704, 365.000000, 24.942466, 1
100, 13.285714, 465.000000, 21.729032, 1
100, 0.000000, 500.000000, 20.272000, 1
100, 0.000000, 500.000000, 16.752000, 1
100, 0.000000, 500.000000, 16.784000, 1
96, 124.000000, 496.000000, 16.387097, 1
100, 124.000000, 496.000000, 18.096774, 1
100, 124.000000, 496.000000, 27.596774, 1
53, 8.803922, 449.000000, 30.521158, 1
0, 2.311258, 349.000000, 33.444126, 1
0, 1.024291, 253.000000, 41.391304, 1
0, 0.440922, 153.000000, 56.366013, 1
0, 0.118568, 53.000000, 38.943396, 1
0, 0.000000, 0.000000, 0.000000, 1
51, 0.113586, 51.000000, 18.352941, 1
100, 0.432665, 151.000000, 11.867550, 1
100, 1.008032, 251.000000, 10.517928, 1
100, 2.355705, 351.000000, 11.487179, 1
51, 4.102041, 402.000000, 12.139303, 1
0, 2.355705, 351.000000, 11.236467, 1
0, 1.008032, 251.000000, 12.302789, 1
0, 0.432665, 151.000000, 14.834437, 1
74, 0.333333, 125.000000, 16.320000, 1
100, 0.533742, 174.000000, 17.931034, 1
81, 1.040816, 255.000000, 15.811765, 1
0, 1.040816, 255.000000, 15.811765, 1
0, 1.040816, 255.000000, 15.811765, 1
0, 0.567398, 181.000000, 15.690608, 1
86, 0.501502, 167.000000, 16.622754, 1
100, 0.592357, 186.000000, 19.913978, 1
100, 1.336449, 286.000000, 18.125874, 1
100, 3.385965, 386.000000, 17.284974, 1
100, 34.714286, 486.000000, 18.962963, 1
100, 0.000000, 500.000000, 18.944000, 1
93, 70.428571, 493.000000, 19.748479, 1
100, 70.428571, 493.000000, 22.085193, 1
43, 6.812500, 436.000000, 24.201835, 1
18, 2.424658, 354.000000, 23.683616, 1
99, 2.401361, 353.000000, 25.314448, 1
100, 2.571429, 360.000000, 25.511111, 1
100, 2.571429, 360.000000, 23.333333, 1
100, 5.024096, 417.000000, 23.577938, 1
100, 499.000000, 499.000000, 23.775551, 1
100, 0.000000, 500.000000, 22.736000, 1
100, 0.000000, 500.000000, 23.008000, 1
59, 11.195122, 459.000000, 24.697168, 1
3, 2.623188, 362.000000, 24.331492, 1
13, 1.222222, 275.000000, 24.465455, 1
20, 0.639344, 195.000000, 26.461538, 1
91, 0.592357, 186.000000, 23.956989, 1
100, 0.831502, 227.000000, 21.533040, 1
100, 1.840909, 324.000000, 21.012346, 1
100, 4.617978, 411.000000, 20.729927, 1
